typos,word,suggest,check
TRUE,bird,bird,TRUE
TRUE,found,found,TRUE
FALSE,rwi,wing,FALSE
TRUE,strike,strike,TRUE
TRUE,report,report,TRUE
FALSE,dmg,damage,FALSE
FALSE,damag,damage,FALSE
FALSE,reptd,Reported,FALSE
TRUE,remain,remain,TRUE
TRUE,pilot,pilot,TRUE
TRUE,struck,struck,TRUE
TRUE,day,day,TRUE
TRUE,aircraft,aircraft,TRUE
TRUE,hit,hit,TRUE
TRUE,inspect,inspect,TRUE
TRUE,land,land,TRUE
TRUE,runway,runway,TRUE
FALSE,inspn,inspect,FALSE
TRUE,flt,flt,TRUE
TRUE,note,note,TRUE
FALSE,smithsonian,Smithsonian,TRUE
FALSE,assum,assume,FALSE
FALSE,birdstrik,strike,FALSE
FALSE,twi,twee,FALSE
TRUE,carcass,carcass,TRUE
TRUE,wing,wing,TRUE
FALSE,eng,engine,FALSE
TRUE,flight,flight,TRUE
TRUE,remark,remark,TRUE
TRUE,collect,collect,TRUE
TRUE,side,side,TRUE
TRUE,time,time,TRUE
TRUE,nose,nose,TRUE
TRUE,crew,crew,TRUE
TRUE,final,final,TRUE
TRUE,one,one,TRUE
TRUE,small,small,TRUE
FALSE,evid,evidance,FALSE
TRUE,number,number,TRUE
FALSE,oper,operate,FALSE
TRUE,airport,airport,TRUE
TRUE,just,just,TRUE
FALSE,locat,locate,FALSE
TRUE,left,left,TRUE
FALSE,radom,radome,FALSE
FALSE,arpt,airport,FALSE
FALSE,snarg,snarg,TRUE
FALSE,remov,remove,FALSE
FALSE,entri,enter,FALSE
FALSE,engin,engine,FALSE
FALSE,sampl,sample,FALSE
TRUE,impact,impact,TRUE
FALSE,arriv,arrive,FALSE
FALSE,possibl,possible,FALSE
TRUE,near,near,TRUE
FALSE,routin,routine,FALSE
TRUE,night,night,TRUE
TRUE,data,data,TRUE
TRUE,unknown,unknown,TRUE
FALSE,incid,incid,TRUE
TRUE,capt,capt,TRUE
FALSE,edg,edge,FALSE
TRUE,feather,feather,TRUE
FALSE,mor,mor,TRUE
TRUE,window,window,TRUE
TRUE,occur,occur,TRUE
FALSE,fuselag,fuselage,FALSE
TRUE,mile,mile,TRUE
FALSE,faa,FAA,TRUE
TRUE,gear,gear,TRUE
TRUE,blood,blood,TRUE
TRUE,clean,clean,TRUE
TRUE,call,call,TRUE
TRUE,area,area,TRUE
FALSE,advi,adv,FALSE
FALSE,notifi,notify,FALSE
FALSE,ldg,land,FALSE
TRUE,ingest,ingest,TRUE
TRUE,right,right,TRUE
TRUE,sent,sent,TRUE
TRUE,depart,depart,TRUE
TRUE,upon,upon,TRUE
TRUE,windshield,windshield,TRUE
TRUE,gate,gate,TRUE
FALSE,speci,species,FALSE
TRUE,tower,tower,TRUE
TRUE,feet,feet,TRUE
FALSE,departur,departure,FALSE
FALSE,windshld,windshield,FALSE
TRUE,approach,approach,TRUE
TRUE,saw,saw,TRUE
TRUE,short,short,TRUE
TRUE,dead,dead,TRUE
TRUE,roll,roll,TRUE
FALSE,mainten,maintain,FALSE
TRUE,blade,blade,TRUE
TRUE,approx,approx,TRUE
TRUE,dove,dove,TRUE
FALSE,rept,rept,TRUE
TRUE,end,end,TRUE
FALSE,sml,sml,TRUE
TRUE,check,check,TRUE
FALSE,continu,continue,FALSE
TRUE,flap,flap,TRUE
FALSE,apch,approach,FALSE
TRUE,gull,gull,TRUE
TRUE,state,state,TRUE
FALSE,wildlif,wildlife,FALSE
TRUE,flock,flock,TRUE
FALSE,indic,indicate,FALSE
TRUE,dent,dent,TRUE
TRUE,warn,warn,TRUE
FALSE,recov,recover,FALSE
FALSE,airlin,airline,FALSE
TRUE,inform,inform,TRUE
FALSE,atct,attack,FALSE
TRUE,around,around,TRUE
TRUE,seen,seen,TRUE
FALSE,servic,service,FALSE
FALSE,ati,ati,TRUE
FALSE,rotat,rotator,FALSE
TRUE,post,post,TRUE
FALSE,centerlin,centerline,FALSE
TRUE,taxi,taxi,TRUE
TRUE,two,two,TRUE
TRUE,heard,heard,TRUE
TRUE,cowl,cowl,TRUE
TRUE,swallow,swallow,TRUE
TRUE,windscreen,windscreen,TRUE
TRUE,morn,morn,TRUE
TRUE,see,see,TRUE
TRUE,lead,lead,TRUE
FALSE,complet,complete,FALSE
TRUE,fan,fan,TRUE
TRUE,personnel,personnel,TRUE
TRUE,part,part,TRUE
TRUE,phase,phase,TRUE
FALSE,twr,twr,TRUE
TRUE,appear,appear,TRUE
FALSE,intxn,intxn,TRUE
TRUE,without,without,TRUE
FALSE,agl,agl,TRUE
FALSE,observ,observe,FALSE
FALSE,discov,discover,FALSE
FALSE,btwn,between,FALSE
TRUE,control,control,TRUE
TRUE,contd,contd,TRUE
TRUE,airfield,airfield,TRUE
TRUE,due,due,TRUE
TRUE,normal,normal,TRUE
TRUE,confirm,confirm,TRUE
FALSE,atc,atc,TRUE
TRUE,contact,contact,TRUE
FALSE,fod,fod,TRUE
FALSE,notic,notic,TRUE
TRUE,hawk,hawk,TRUE
TRUE,light,light,TRUE
TRUE,dawn,dawn,TRUE
TRUE,will,will,TRUE
FALSE,aprch,approach,FALSE
TRUE,return,return,TRUE
FALSE,daili,daily,FALSE
TRUE,front,front,TRUE
TRUE,respond,respond,TRUE
FALSE,dal,dal,TRUE
FALSE,replac,replace,FALSE
FALSE,injuri,injure,FALSE
FALSE,mechan,mechanic,FALSE
FALSE,unkn,unknown,FALSE
TRUE,ramp,ramp,TRUE
TRUE,sparrow,sparrow,TRUE
TRUE,size,size,TRUE
FALSE,multipl,multiple,FALSE
TRUE,intersect,intersect,TRUE
TRUE,east,east,TRUE
FALSE,remvd,removed,FALSE
FALSE,swa,swa,TRUE
TRUE,north,north,TRUE
TRUE,prior,prior,TRUE
TRUE,takeoff,takeoff,TRUE
TRUE,inbound,inbound,TRUE
TRUE,said,said,TRUE
TRUE,made,made,TRUE
TRUE,info,info,TRUE
FALSE,usda,USDA,TRUE
TRUE,also,also,TRUE
TRUE,intact,intact,TRUE
TRUE,west,west,TRUE
FALSE,aal,aal,TRUE
FALSE,unabl,unable,FALSE
TRUE,taxiway,taxiway,TRUE
TRUE,threshold,threshold,TRUE
FALSE,approxim,approximate,FALSE
TRUE,center,center,TRUE
TRUE,mourn,mourn,TRUE
FALSE,appar,appear,FALSE
TRUE,walk,walk,TRUE
FALSE,destin,destination,FALSE
TRUE,south,south,TRUE
TRUE,ground,ground,TRUE
TRUE,conduct,conduct,TRUE
FALSE,kclt,kclt,TRUE
TRUE,sever,sever,TRUE
TRUE,barn,barn,TRUE
TRUE,mark,mark,TRUE
TRUE,effect,effect,TRUE
FALSE,larg,large,FALSE
FALSE,determin,determine,FALSE
TRUE,main,main,TRUE
TRUE,delta,delta,TRUE
TRUE,date,date,TRUE
TRUE,back,back,TRUE
TRUE,line,line,TRUE
TRUE,taken,taken,TRUE
FALSE,pirep,pirep,TRUE
TRUE,base,base,TRUE
TRUE,climb,climb,TRUE
TRUE,close,close,TRUE
TRUE,event,event,TRUE
TRUE,sweep,sweep,TRUE
FALSE,receiv,receive,FALSE
TRUE,flare,flare,TRUE
TRUE,shoulder,shoulder,TRUE
TRUE,may,may,TRUE
FALSE,lcl,lcl,TRUE
TRUE,air,air,TRUE
TRUE,black,black,TRUE
FALSE,inspctd,inspect,FALSE
FALSE,ual,ual,TRUE
FALSE,lwr,lower,FALSE
TRUE,perform,perform,TRUE
TRUE,first,first,TRUE
FALSE,analysi,analysis,FALSE
FALSE,starl,starl,TRUE
TRUE,door,door,TRUE
TRUE,cockpit,cockpit,TRUE
FALSE,postflt,postflt,TRUE
FALSE,american,American,TRUE
TRUE,killdeer,killdeer,TRUE
TRUE,flew,flew,TRUE
TRUE,find,find,TRUE
FALSE,awar,awar,TRUE
FALSE,clt,clt,TRUE
TRUE,repair,repair,TRUE
FALSE,tissu,tissue,FALSE
TRUE,bat,bat,TRUE
TRUE,like,like,TRUE
TRUE,assist,assist,TRUE
TRUE,hrs,hrs,TRUE
FALSE,visibl,visible,FALSE
TRUE,prop,prop,TRUE
TRUE,sign,sign,TRUE
FALSE,retriev,retrieve,FALSE
TRUE,lower,lower,TRUE
TRUE,smear,smear,TRUE
FALSE,fos,fos,TRUE
TRUE,cost,cost,TRUE
FALSE,fli,fli,TRUE
FALSE,identifi,identify,FALSE
TRUE,biol,biol,TRUE
TRUE,minor,minor,TRUE
TRUE,park,park,TRUE
TRUE,deer,deer,TRUE
TRUE,took,took,TRUE
FALSE,dna,DNA,TRUE
TRUE,take,take,TRUE
TRUE,kestrel,kestrel,TRUE
TRUE,suspect,suspect,TRUE
FALSE,borescop,borescop,TRUE
TRUE,run,run,TRUE
TRUE,known,known,TRUE
TRUE,clear,clear,TRUE
TRUE,per,per,TRUE
FALSE,recvrd,recovered,FALSE
TRUE,form,form,TRUE
FALSE,debri,debris,FALSE
TRUE,later,later,TRUE
TRUE,owl,owl,TRUE
TRUE,inlet,inlet,TRUE
TRUE,fwd,fwd,TRUE
TRUE,show,show,TRUE
TRUE,field,field,TRUE
TRUE,upper,upper,TRUE
TRUE,pigeon,pigeon,TRUE
TRUE,marker,marker,TRUE
TRUE,port,port,TRUE
FALSE,retd,retd,TRUE
FALSE,emerg,emerge,FALSE
TRUE,slat,slat,TRUE
TRUE,top,top,TRUE
TRUE,meadowlark,meadowlark,TRUE
TRUE,captain,captain,TRUE
TRUE,core,core,TRUE
TRUE,avail,avail,TRUE
FALSE,walkaround,walk around,FALSE
TRUE,result,result,TRUE
TRUE,local,local,TRUE
TRUE,cont,cont,TRUE
TRUE,aft,aft,TRUE
TRUE,safe,safe,TRUE
TRUE,thump,thump,TRUE
FALSE,rollout,roll out,FALSE
FALSE,requir,require,FALSE
FALSE,airfld,airfield,FALSE
FALSE,surfac,surface,FALSE
TRUE,plane,plane,TRUE
TRUE,type,type,TRUE
FALSE,identif,identify,FALSE
FALSE,idd,idd,TRUE
FALSE,believ,believe,FALSE
FALSE,offic,office,FALSE
TRUE,delay,delay,TRUE
FALSE,materi,material,FALSE
FALSE,unawar,unaware,FALSE
TRUE,felt,felt,TRUE
FALSE,remainsevid,remainsevid,TRUE
TRUE,whole,whole,TRUE
FALSE,caus,caus,TRUE
TRUE,turn,turn,TRUE
TRUE,follow,follow,TRUE
FALSE,deptr,departure,FALSE
TRUE,point,point,TRUE
TRUE,went,went,TRUE
TRUE,none,none,TRUE
FALSE,arff,arff,TRUE
FALSE,noth,noth,TRUE
FALSE,provid,provide,FALSE
TRUE,thru,thru,TRUE
TRUE,photo,photo,TRUE
FALSE,klga,klga,TRUE
TRUE,duck,duck,TRUE
TRUE,next,next,TRUE
TRUE,abeam,abeam,TRUE
FALSE,minut,minut,TRUE
FALSE,inbd,inbd,TRUE
TRUE,biologist,biologist,TRUE
FALSE,undetermin,undetermined,FALSE
TRUE,touchdown,touchdown,TRUE
TRUE,gee,gee,TRUE
TRUE,loud,loud,TRUE
FALSE,closur,closure,FALSE
TRUE,enter,enter,TRUE
TRUE,abort,abort,TRUE
FALSE,atl,atl,TRUE
TRUE,white,white,TRUE
TRUE,goo,goo,TRUE
FALSE,negat,negat,TRUE
FALSE,safeti,safety,FALSE
TRUE,pick,pick,TRUE
TRUE,dispatch,dispatch,TRUE
FALSE,lrg,lrg,TRUE
FALSE,skw,skw,TRUE
FALSE,piec,piec,TRUE
FALSE,pitot,pilot,FALSE
TRUE,alt,alt,TRUE
FALSE,maint,main,FALSE
TRUE,smell,smell,TRUE
FALSE,dispo,dipso,FALSE
TRUE,tail,tail,TRUE
TRUE,speed,speed,TRUE
TRUE,request,request,TRUE
TRUE,touch,touch,TRUE
TRUE,file,file,TRUE
FALSE,stabil,stability,FALSE
TRUE,need,need,TRUE
TRUE,cone,cone,TRUE
